고객사코드,굴뚝번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,위치,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,,,,,
CUST001,#A2020246,CUST001-#A2020246,Final #7 Ra',유무기산저장시설,,22,0.5,5,,,,,,
CUST001,#A2020247,CUST001-#A2020247,Final #7 Ra',유무기산저장시설,,22,0.5,5,,,,,,
CUST001,#A2020249,CUST001-#A2020249,#1 Pulping Tank 운휴,혼합시설,,-,0.23,5,,,,,,
CUST001,#A2020250,CUST001-#A2020250,#2 Pulping Tank 운휴,혼합시설,,-,0.2,5,,,,,,
CUST001,#A2020251,CUST001-#A2020251,CH2 Reactor (200m3),반응시설,,10.5,0.25,5,,,,,,
CUST001,#A2020252,CUST001-#A2020252,CH2 산세 CH2 Filtrate Tank ,유무기산저장시설,,5.5,0.25,5,,,,,,
CUST001,#A2020253,CUST001-#A2020253,CH2 주수 Tank,유무기산저장시설,,14.2,0.32,5,,,,,,
CUST001,#A2020260,CUST001-#A2020260,OF5 A/W 68CH Feeding Tank ,유무기산저장시설,,-,0.22,5,,,,,,
CUST001,#A2020264,CUST001-#A2020264,#8 미액 Tank,유무기산저장시설,,17.3,0.14,5,,,,,,
CUST001,#A2020265,CUST001-#A2020265,#9 미액 Tank,유무기산저장시설,,17.3,0.14,5,,,,,,
CUST001,#A2020266,CUST001-#A2020266,#10 미액 Tank,유무기산저장시설,,27.6,0.56,5,,,,,,
CUST001,#A2020267,CUST001-#A2020267,SHL #1 Thick'r,농축시설,,12.6,0.43,5,,,,,,
CUST001,#A2020268,CUST001-#A2020268,SHL #1 Thick'r,농축시설,,12.5,0.4,5,,,,,,
CUST001,#A2020269,CUST001-#A2020269,Final Thick'r O/F V/S,유무기산저장시설,,9.8,0.15,5,,,,,,
CUST001,#A2020270,CUST001-#A2020270,F/L Thickener O/F Tank #2,유무기산저장시설,,9.7,0.14,5,,,,,,
CUST001,#A2020271,CUST001-#A2020271,SHL Thickener O/F Tank,유무기산저장시설,,-,0.2,5,,,,,,
CUST001,#A2020272,CUST001-#A2020272,RED#4 Thickener,농축시설,,12.4,0.42,5,,,,,,
CUST001,#A2020273,CUST001-#A2020273,RED#4 Thickener,농축시설,,12.4,0.41,5,,,,,,
CUST001,#A2020274,CUST001-#A2020274,RED THICKENER O/F #1 Vessel,유무기산저장시설,,8.5,0.12,5,,,,,,
CUST001,#A2020275,CUST001-#A2020275,RED THICKENER O/F #2 Vessel,유무기산저장시설,,11.3,0.13,5,,,,,,
CUST001,#A2020276,CUST001-#A2020276,WAL O/F #1 Vessel,유무기산저장시설,,9,0.14,5,,,,,,
CUST001,#A2020277,CUST001-#A2020277,WAL O/F #2 Vessel,유무기산저장시설,,9,0.14,5,,,,,,
CUST001,#A2020281,CUST001-#A2020281,NL #1 Mixing Tank,혼합시설,,7,0.14,5,,,,,,
CUST001,#A2020282,CUST001-#A2020282,NL #2 Mixing Tank,혼합시설,,15.4,0.14,5,,,,,,
CUST001,#A2020283,CUST001-#A2020283,NL #3 Mixing Tank,혼합시설,,9.2,0.14,5,,,,,,
CUST001,#A2020286,CUST001-#A2020286,#2 NL O/F Vessel,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020287,CUST001-#A2020287,중성액조 #1 Tank,유무기산저장시설,,6.7,0.14,5,,,,,,
CUST001,#A2020288,CUST001-#A2020288,중성액조 #2 Tank,유무기산저장시설,,6.7,0.14,5,,,,,,
CUST001,#A2020289,CUST001-#A2020289,중성액조 #3,유무기산저장시설,,6.7,0.11,5,,,,,,
CUST001,#A2020290,CUST001-#A2020290,Mn Thickener Overflow Vessel,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020291,CUST001-#A2020291,#3 Feed Tank(300m3),유무기산저장시설,,-,0.25,5,,,,,,
CUST001,#A2020302,CUST001-#A2020302,A/W Thickener,농축시설,,12.4,0.45,5,,,,,,
CUST001,#A2020304,CUST001-#A2020304,연용해 A/W THICKENER O/F Vessel,농축시설,,7.4,0.14,5,,,,,#A2040004,#N/A
CUST001,#A2020305,CUST001-#A2020305,연용해 A/W Thickener U/F Vessel,유무기산저장시설,,9.7,0.14,5,,,,,,
CUST001,#A2020306,CUST001-#A2020306,연용해 A/W 여액 Tank ,유무기산저장시설,,9.7,0.14,5,,,,,,
CUST001,#A2020307,CUST001-#A2020307,연용해 주수 Feed Tank ,유무기산저장시설,,7.9,0.15,5,,,,,,
CUST001,#A2020308,CUST001-#A2020308,연용해 Zn F/P 여액 Tank ,유무기산저장시설,,7.5,0.14,5,,,,,,
CUST001,#A2020310,CUST001-#A2020310,연용해 PbSO4 Pulping Tank ,혼합시설,,-,0.16,5,,,,,,
CUST001,#A2020311,CUST001-#A2020311,연용해 74CH F/P 여액 Tank ,유무기산저장시설,,8.6,0.12,5,,,,,,
CUST001,#A2020312,CUST001-#A2020312,연용해 #2 100CH F/P #1 여액 Tank ,유무기산저장시설,,11.3,0.14,5,,,,,,
CUST001,#A2020313,CUST001-#A2020313,연용해 #2 100CH F/P #2 여액 Tank ,유무기산저장시설,,-,0.14,5,,,,,,
CUST001,#A2020314,CUST001-#A2020314,연용해 Decomp 중화 #1 Thckener Over Flow Vessel ,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020315,CUST001-#A2020315,연용해 NT Holding Tank ,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020316,CUST001-#A2020316,연용해 NT #1 Thickener OverFlow Vessel ,유무기산저장시설,,9.9,0.15,5,,,,,,
CUST001,#A2020317,CUST001-#A2020317,연용해 NT #2 Thickener OverFlow Vessel ,유무기산저장시설,,-,-,5,,,,,,
