,,,,,,,2.1 굴뚝/배출구 정보,
항목,항목,항목,항목,항목,항목,항목,업체,고객사 코드
굴뚝 번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,
#A2020088,CUST001-#A2020088,WAL #3-1 Ra',반응시설,19.9 ,0.50 ,5,고려아연,CUST001
#A2020089,CUST001-#A2020089,WAL #3-2 Ra',반응시설,18.7 ,0.55 ,5,고려아연,CUST001
#A2020090,CUST001-#A2020090,WAL #3-3 Ra',반응시설,-,0.55 ,5,고려아연,CUST001
#A2020091,CUST001-#A2020091,WAL #3-4 Ra',반응시설,18.7 ,0.55 ,5,고려아연,CUST001
#A2020092,CUST001-#A2020092,WAL #3-5 Ra',반응시설,19.0 ,0.55 ,5,고려아연,CUST001
#A2020093,CUST001-#A2020093,WAL#2 Thickener,농축시설,-,0.41 ,5,고려아연,CUST001
#A2020094,CUST001-#A2020094,WAL#4 Thick'r,농축시설,11.5 ,0.43 ,5,고려아연,CUST001
#A2020095,CUST001-#A2020095,WAL#4 Thick'r,농축시설,11.5 ,0.41 ,5,고려아연,CUST001
#A2020139,CUST001-#A2020139,NL#1-1 Ra',반응시설,17.7 ,0.55 ,5,고려아연,CUST001
#A2020140,CUST001-#A2020140,NL#1-2 Ra',반응시설,17.4 ,0.55 ,5,고려아연,CUST001
#A2020141,CUST001-#A2020141,NL#1-3 Ra',반응시설,17.1 ,0.55 ,5,고려아연,CUST001
#A2020142,CUST001-#A2020142,NL#1-4 Ra',반응시설,22.6 ,0.25 ,5,고려아연,CUST001
#A2020143,CUST001-#A2020143,NL#1-5 Ra',반응시설,20.6 ,0.20 ,5,고려아연,CUST001
#A2020144,CUST001-#A2020144,NL#2-1 Ra',반응시설,-,0.55 ,5,고려아연,CUST001
#A2020145,CUST001-#A2020145,NL#2-2 Ra',반응시설,-,0.70 ,5,고려아연,CUST001
#A2020146,CUST001-#A2020146,NL#2-2 Ra',반응시설,-,0.70 ,5,고려아연,CUST001
#A2020147,CUST001-#A2020147,NL#2-3 Ra',반응시설,17.5 ,0.55 ,5,고려아연,CUST001
#A2020148,CUST001-#A2020148,NL#2-4 Ra',반응시설,17.3 ,0.55 ,5,고려아연,CUST001
#A2020149,CUST001-#A2020149,NL #3-1 Ra',반응시설,18.9 ,0.55 ,5,고려아연,CUST001
#A2020150,CUST001-#A2020150,NL #3-2 Ra',반응시설,22.2 ,0.55 ,5,고려아연,CUST001
#A2020151,CUST001-#A2020151,NL #3-3 Ra',반응시설,-,0.56 ,5,고려아연,CUST001
#A2020152,CUST001-#A2020152,NL #3-4 Ra',반응시설,21.2 ,0.30 ,5,고려아연,CUST001
#A2020164,CUST001-#A2020164,Final U/F Cushion Tank,유무기산저장시설,-,0.17 ,5,고려아연,CUST001
#A2020165,CUST001-#A2020165,#1 Pb/Ag F/P Feeding Tank(1공장),유무기산저장시설,-,0.26 ,5,고려아연,CUST001
#A2020166,CUST001-#A2020166,#2 Pb/Ag F/P Feeding Tank(1공장),유무기산저장시설,15.0 ,0.26 ,5,고려아연,CUST001
#A2020167,CUST001-#A2020167,Pb/Ag 여액 Tank(2단지),유무기산저장시설,10.2 ,0.19 ,5,고려아연,CUST001
#A2020168,CUST001-#A2020168,#2 Filtrate Tank,유무기산저장시설,-,0.17 ,5,고려아연,CUST001
